a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
1,79,0,1,1,1,19,5,79,0.00062293807665507,0.8379886017346614,0.2,0.984375
1,80,0,1,1,1,19,5,40,0.0003070135911305745,0.7828703703703903,0.2,1.012500000000017
1,81,0,1,1,1,20,5,81,0.0006372928619384766,0.8833256172840057,0.2,1.140625
1,82,0,1,1,1,20,5,82,0.0007499313354492188,1.0679358626920556,0.2,1.1800000000000637
1,83,0,1,1,1,20,5,83,0.0007613754272460938,0.9903653502900661,0.2,1.1875
1,84,0,1,1,1,20,5,42,0.00037097930908203125,0.9545238095238169,0.2,1.25
1,85,0,1,1,1,31,5,85,0.0006582472059461805,1.033592047930292,0.2,1.3125
1,86,0,1,1,1,21,6,86,0.0005838694395842376,1.0237541528239449,0.16666666666666666,1.1400000000000432
1,87,0,1,1,1,33,6,87,0.0007394338265443459,0.9910601395731631,0.16666666666666666,1.2300000000001887
1,88,0,1,1,1,21,6,44,0.00032907062106662325,0.9435714285714377,0.16666666666666666,1.1200000000000045
1,89,0,1,1,1,21,6,89,0.0007227085254810474,0.9735553772070775,0.16666666666666666,1.1600000000000037
1,90,0,1,1,1,15,6,90,0.0006581374577113561,0.955158730158798,0.16666666666666666,1.125
1,91,0,1,1,1,33,6,91,0.0007917147416334886,0.9669575266004975,0.16666666666666666,1.1875
1,92,0,1,1,1,21,6,46,0.00039539513764558015,0.892387853692214,0.16666666666666666,1.25
1,93,0,1,1,1,21,6,93,0.0008378382082338687,0.9019431643626449,0.16666666666666666,1.1200000000000614
1,94,0,1,1,1,15,6,94,0.000744002205984933,0.8689475683891297,0.16666666666666666,0.96875
1,95,0,1,1,1,15,6,95,0.0008797191438220796,0.8763366750209798,0.16666666666666666,1.0026315789475966
1,96,0,1,1,1,15,6,48,0.00048414866129557293,0.7942261904762044,0.16666666666666666,1.0400000000000205
1,97,0,1,1,1,21,6,97,0.0009396517718279803,0.8307016036656104,0.16666666666666666,1.0625
1,98,0,1,1,1,15,6,98,0.0009381430489676339,0.8809333495304045,0.16666666666666666,1.1250000000001137
1,99,0,1,1,1,15,6,99,0.0007967267717633929,0.8478869047619894,0.16666666666666666,1.0125252525253146
1,100,0,1,1,1,16,6,50,0.00039033456282182175,0.7295634920634976,0.16666666666666666,1.0
2,3,0,1,1,1,1,1,3,0.0003590583801269531,0.5,1.0,0.5
2,5,0,1,1,1,2,2,5,0.00023192167282104492,0.716666666666697,0.5,0.900000000000091
2,7,0,1,1,1,2,2,7,0.00022172927856445312,0.8452380952380952,0.5,0.875
2,9,0,1,1,1,2,2,9,0.00022214651107788086,0.5601851851851851,0.5,0.6805555555555554
2,11,0,1,1,1,2,2,11,0.0002237558364868164,0.5454545454545515,0.5,0.6363636363636545
2,13,0,1,1,1,2,2,13,0.00022429227828979492,0.596153846153849,0.5,0.625
2,15,0,1,1,1,7,2,15,0.00021690792507595487,0.8166666666666677,0.5,0.875
2,17,0,1,1,1,6,3,17,0.00022655063205295138,0.7876838235294135,0.3333333333333333,0.9705882352941178
2,19,0,1,1,1,6,3,19,0.00023608737521701388,0.6192434210526316,0.3333333333333333,0.6578947368421053
2,21,0,1,1,1,3,3,21,0.00023317337036132812,0.6636904761904762,0.3333333333333333,0.8809523809523809
2,23,0,1,1,1,3,3,23,0.00026424725850423175,0.7364130434782621,0.3333333333333333,0.875
2,25,0,1,1,1,3,3,25,0.0002919435501098633,0.6312499999999999,0.3333333333333333,0.8799999999999999
2,27,0,1,1,1,3,3,27,0.00028514862060546875,0.6030092592592781,0.3333333333333333,0.7407407407407405
2,29,0,1,1,1,3,3,29,0.00032146771748860675,0.6229645593869808,0.3333333333333333,0.6551724137931103
2,31,0,1,1,1,6,3,31,0.000345309575398763,0.629144265232993,0.3333333333333333,0.6451612903225907
2,33,0,1,1,1,7,3,33,0.0003665447235107422,0.6908143939394122,0.3333333333333333,0.78125
2,35,0,1,1,1,7,3,35,0.00034632682800292967,0.6254216269841439,0.3333333333333333,0.7223214285714334
2,37,0,1,1,1,7,3,37,0.0003309011459350586,0.6760979729729968,0.3333333333333333,0.8783783783784429
2,39,0,1,1,1,7,3,39,0.00024716854095458985,0.7291666666667034,0.3333333333333333,0.875
2,41,0,1,1,1,7,3,41,0.0004396915435791016,0.6871189024390532,0.3333333333333333,0.78125
2,43,0,1,1,1,11,3,43,0.00039565563201904297,0.8793200904393039,0.3333333333333333,1.09375
2,45,0,1,1,1,20,4,45,0.00037872791290283203,0.8879166666667515,0.25,0.9583333333334849
2,47,0,1,1,1,8,4,47,0.0003350973129272461,0.6717494089835048,0.25,0.7804373522459969
2,49,0,1,1,1,8,4,49,0.00038941701253255207,0.7069444444445269,0.25,0.8979591836735255
2,51,0,1,1,1,9,4,51,0.0004953237680288461,0.6808823529412124,0.25,0.8848039215686256
2,53,0,1,1,1,9,4,53,0.0005190372467041016,0.645165094339626,0.25,0.6656839622641542
2,55,0,1,1,1,9,4,55,0.0004841180948110727,0.7417171717172069,0.25,0.875
2,57,0,1,1,1,9,4,57,0.0004905187166654146,0.7183114035087946,0.25,0.7900219298245617
2,59,0,1,1,1,9,4,59,0.0004555078653188852,0.6427966101695433,0.25,0.7798964218457627
2,61,0,1,1,1,9,4,61,0.0005862712860107422,0.6904143897996959,0.25,0.8770491803279583
2,63,0,1,1,1,9,4,63,0.0005800724029541016,0.6599206349207861,0.25,0.716269841269991
2,65,0,1,1,1,9,4,65,0.0005483077122614934,0.6527884615385574,0.25,0.7854700854701377
2,67,0,1,1,1,9,4,67,0.0006520931537334735,0.6233105306801093,0.25,0.7206156716417951
2,69,0,1,1,1,9,4,69,0.0006351470947265625,0.6877717391305396,0.25,0.8768115942029908
2,71,0,1,1,1,9,4,71,0.0006063718062180739,0.729841549295827,0.25,0.8455105633803441
