a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
1,2,4,15,1,1,71,30,30,0.00028499282232605585,1.0022222222225372,0.7666666666666667,1.0022222222235513
1,2,4,17,1,1,77,34,34,0.0002866843799213031,0.9982698961941932,0.7352941176470589,0.9982698961953531
1,2,4,19,1,1,83,38,38,0.0003097944023195377,0.9958448753467923,0.7105263157894737,0.9958448753491211
1,2,5,6,1,1,6,3,3,0.00016652213202582466,0.6805555555556637,0.6666666666666666,0.680555555555685
1,2,5,7,1,1,34,14,14,0.00018838544686635336,0.9693877551021767,0.7857142857142857,0.9693877551023888
1,2,5,8,1,1,17,8,8,0.00015829086303710937,0.9453125,0.875,0.9453125
1,2,5,9,1,1,51,18,18,0.00020766603773918706,1.0432098765433382,0.9444444444444444,1.0432098765436422
1,2,5,11,1,1,55,22,22,0.00023020397533069956,1.057851239669575,0.9545454545454546,1.0578512396700717
1,2,5,12,1,1,29,12,12,0.0001941425044362138,1.0034722222223509,0.9166666666666666,1.0034722222225128
1,2,5,13,1,1,62,26,26,0.000244395299391313,1.0355029585801052,0.8846153846153846,1.0355029585805369
1,2,5,14,1,1,16,7,7,0.0001687796219535496,0.9209183673471131,0.8571428571428571,0.9209183673473262
1,2,5,16,1,1,35,16,16,0.0001429903740976371,0.986328125,0.8125,0.986328125
1,2,5,17,1,1,74,34,34,0.00029590174003883647,1.013840830450204,0.7941176470588235,1.013840830451045
1,2,5,18,1,1,19,9,9,0.0001522387777056013,0.9274691358026186,0.7777777777777778,0.9274691358028235
1,2,5,19,1,1,79,38,38,0.0003160003922943376,1.0083102493080542,0.7631578947368421,1.0083102493099432
1,2,6,7,1,1,38,14,14,0.00015361492450420672,0.9387755102042213,0.6428571428571429,0.9387755102044366
1,2,6,11,1,1,55,22,22,0.00022725625471635297,1.0578512396695934,0.9545454545454546,1.0578512396700717
1,2,6,13,1,1,59,26,26,0.0002852327683392693,1.068047337278344,0.9615384615384616,1.0680473372790402
1,2,6,17,1,1,71,34,34,0.000302214849562872,1.0328719723187598,0.8529411764705882,1.0328719723197537
1,2,6,19,1,1,77,38,38,0.0003172687862230384,1.0235457063717133,0.8157894736842105,1.023545706372829
1,2,7,8,1,1,20,8,8,0.00020140409469604492,0.8828125,0.625,0.8828125
1,2,7,9,1,1,40,18,18,0.00017480603579817148,0.9691358024692465,0.722222222222222,0.9691358024695091
1,2,7,10,1,1,10,5,5,0.0002851168314615885,0.845000000000122,0.8,0.8450000000003115
1,2,7,11,1,1,59,22,22,0.0002122837820170838,1.0206611570249928,0.8636363636363636,1.0206611570254154
1,2,7,12,1,1,29,12,12,0.0002183565279332603,1.0034722222223362,0.9166666666666666,1.0034722222225128
1,2,7,13,1,1,59,26,26,0.00026236141429227943,1.068047337278361,0.9615384615384616,1.068047337279495
1,2,7,15,1,1,63,30,30,0.00028894793602728076,1.075555555555847,0.9666666666666667,1.0755555555570595
1,2,7,16,1,1,33,16,16,0.00017776781198929767,1.033203125,0.9375,1.033203125
1,2,7,17,1,1,69,34,34,0.00031405282252043197,1.0553633217997267,0.9117647058823529,1.0553633218009963
1,2,7,18,1,1,18,9,9,0.00017186447426124855,0.9645061728396342,0.8888888888888888,0.9645061728398332
1,2,7,19,1,1,111,38,38,0.0003278895512523267,1.0415512465379577,0.868421052631579,1.0415512465401946
1,2,7,20,1,1,57,20,20,0.00019699567324155337,1.0112500000001237,0.85,1.0112500000005866
1,2,8,9,1,1,44,18,18,0.00015237254481161795,0.9506172839507245,0.6111111111111112,0.950617283950919
1,2,8,11,1,1,63,22,22,0.00020617316750919118,0.9917355371902516,0.7727272727272727,0.9917355371908343
1,2,8,13,1,1,62,26,26,0.00025292689150029963,1.035502958580099,0.8846153846153846,1.0355029585807642
1,2,8,15,1,1,63,30,30,0.0002850460749800487,1.0755555555558565,0.9666666666666667,1.075555555557031
1,2,8,17,1,1,99,34,34,0.00031228710834245037,1.0813148788931102,0.9705882352941176,1.0813148788947728
1,2,8,19,1,1,107,38,38,0.00033682461442618533,1.0623268698066113,0.9210526315789473,1.0623268698083166
1,2,9,10,1,1,11,5,5,0.0001615285873413086,0.8050000000001608,0.6,0.805000000000291
1,2,9,11,1,1,45,22,22,0.00020394040577447237,0.9710743801654909,0.6818181818181818,0.971074380166101
1,2,9,13,1,1,65,26,26,0.00025280491336361394,1.0088757396452028,0.8076923076923077,1.0088757396458732
1,2,9,14,1,1,16,7,7,0.0002239579739777938,0.920918367347082,0.8571428571428571,0.9209183673472126
1,2,9,16,1,1,33,16,16,0.00019471499384665975,1.033203125,0.9375,1.033203125
1,2,9,17,1,1,99,34,34,0.000312783664330504,1.081314878893061,0.9705882352941176,1.081314878893977
1,2,9,19,1,1,103,38,38,0.0003442240099534921,1.0858725761779078,0.9736842105263158,1.0858725761800088
1,2,9,20,1,1,53,20,20,0.00019665613566359429,1.0512500000001719,0.95,1.0512500000005502
1,2,10,11,1,1,49,22,22,0.000187423867239079,0.9586776859505669,0.5909090909090909,0.9586776859510096
1,2,10,13,1,1,69,26,26,0.00022749649850945723,0.9881656804735649,0.7307692307692307,0.9881656804741397
1,2,10,17,1,1,69,34,34,0.0003016110762809087,1.0553633217997131,0.9117647058823529,1.0553633218006269
1,2,10,19,1,1,103,38,38,0.00034438464658480164,1.0858725761777033,0.9736842105263158,1.0858725761786445
1,2,11,12,1,1,25,12,12,0.00019066398208205765,0.9201388888890191,0.5833333333333334,0.9201388888891415
1,2,11,13,1,1,74,26,26,0.00022629022598266601,0.9733727810653424,0.6538461538461539,0.9733727810664732
1,2,11,14,1,1,18,7,7,0.00015362739562988282,0.8801020408164426,0.7142857142857143,0.8801020408166096
1,2,11,15,1,1,71,30,30,0.000252334198149124,1.002222222222636,0.7666666666666667,1.0022222222237929
1,2,11,16,1,1,35,16,16,0.0001475811004638672,0.986328125,0.8125,0.986328125
1,2,11,17,1,1,71,34,34,0.0002868788582938058,1.0328719723187805,0.8529411764705882,1.0328719723202084
1,2,11,18,1,1,18,9,9,0.0001682528743037471,0.9645061728396328,0.8888888888888888,0.9645061728397195
1,2,11,19,1,1,107,38,38,0.00034213230527680496,1.0623268698066208,0.9210526315789473,1.062326869808203
1,2,11,20,1,1,53,20,20,0.00020608183455793824,1.0512500000001426,0.95,1.051250000000664
1,2,12,13,1,1,53,26,26,0.00020201900337315812,0.9644970414203664,0.5769230769230771,0.9644970414211116
1,2,12,17,1,1,74,34,34,0.0002888639767964681,1.0138408304502708,0.7941176470588235,1.0138408304512723
1,2,12,19,1,1,111,38,38,0.00032839839090436897,1.0415512465379935,0.868421052631579,1.041551246539484
1,2,13,14,1,1,14,7,7,0.00020381382533482144,0.8596938775511962,0.5714285714285714,0.8596938775513081
1,2,13,15,1,1,80,30,30,0.0002407702532681552,0.9755555555559206,0.6333333333333333,0.975555555557321
1,2,13,16,1,1,39,16,16,0.00014968351884321734,0.955078125,0.6875,0.955078125
1,2,13,17,1,1,77,34,34,0.0002898912172059755,0.9982698961941511,0.7352941176470589,0.9982698961954384
1,2,13,18,1,1,19,9,9,0.00015206847872052873,0.927469135802584,0.7777777777777778,0.9274691358026672
